year,year2014,year2015
"2014-01-01",109,82
"2014-01-02",105,65
"2014-01-03",123,61
"2014-01-04",132,55
"2014-01-05",128,75
"2014-01-06",115,67
"2014-01-07",61,64
"2014-01-08",74,89
"2014-01-09",64,90
"2014-01-10",79,99
"2014-01-11",65,69
"2014-01-12",82,38
"2014-01-13",54,42
"2014-01-14",59,60
"2014-01-15",68,79
"2014-01-16",73,70
"2014-01-17",87,97
"2014-01-18",85,90
"2014-01-19",128,88
"2014-01-20",115,135
"2014-01-21",88,79
"2014-01-22",94,75
"2014-01-23",80,68
"2014-01-24",47,64
"2014-01-25",50,70
"2014-01-26",68,64
"2014-01-27",72,43
"2014-01-28",55,60
"2014-01-29",49,58
"2014-01-30",62,60
"2014-01-31",83,70
"2014-02-01",52,74
"2014-02-02",46,70
"2014-02-03",53,70
"2014-02-04",48,60
"2014-02-05",36,104
"2014-02-06",29,99
"2014-02-07",43,83
"2014-02-08",38,98
"2014-02-09",25,73
"2014-02-10",46,113
"2014-02-11",58,129
"2014-02-12",65,69
"2014-02-13",32,71
"2014-02-14",62,89
"2014-02-15",64,88
"2014-02-16",63,62
"2014-02-17",57,68
"2014-02-18",65,69
"2014-02-19",28,55
"2014-02-20",52,46
"2014-02-21",57,47
"2014-02-22",57,28
"2014-02-23",52,40
"2014-02-24",40,35
"2014-02-25",47,36
"2014-02-26",65,33
"2014-02-27",44,35
"2014-02-28",38,37
"2014-03-01",51,45
"2014-03-02",49,63
"2014-03-03",41,37
"2014-03-04",69,33
"2014-03-05",44,48
"2014-03-06",52,52
"2014-03-07",42,39
"2014-03-08",49,77
"2014-03-09",35,55
"2014-03-10",43,67
"2014-03-11",70,40
"2014-03-12",79,42
"2014-03-13",51,54
"2014-03-14",69,48
"2014-03-15",89,50
"2014-03-16",82,38
"2014-03-17",70,41
"2014-03-18",60,46
"2014-03-19",58,52
"2014-03-20",73,75
"2014-03-21",59,57
"2014-03-22",63,69
"2014-03-23",56,62
"2014-03-24",56,59
"2014-03-25",55,60
"2014-03-26",62,60
"2014-03-27",47,47
"2014-03-28",40,53
"2014-03-29",64,48
"2014-03-30",49,43
"2014-03-31",58,37
"2014-04-01",52,33
"2014-04-02",44,34
"2014-04-03",52,32
"2014-04-04",58,40
"2014-04-05",67,44
"2014-04-06",70,47
"2014-04-07",48,33
"2014-04-08",63,54
"2014-04-09",55,40
"2014-04-10",51,45
"2014-04-11",45,54
"2014-04-12",50,88
"2014-04-13",80,83
"2014-04-14",54,83
"2014-04-15",58,77
"2014-04-16",55,53
"2014-04-17",52,42
"2014-04-18",52,49
"2014-04-19",45,55
"2014-04-20",69,67
"2014-04-21",43,68
"2014-04-22",59,97
"2014-04-23",48,65
"2014-04-24",55,61
"2014-04-25",49,55
"2014-04-26",44,52
"2014-04-27",70,54
"2014-04-28",65,52
"2014-04-29",57,39
"2014-04-30",65,30
"2014-05-01",37,30
"2014-05-02",41,34
"2014-05-03",51,45
"2014-05-04",49,41
"2014-05-05",34,33
"2014-05-06",44,25
"2014-05-07",43,38
"2014-05-08",47,35
"2014-05-09",39,37
"2014-05-10",33,78
"2014-05-11",44,50
"2014-05-12",53,31
"2014-05-13",42,28
"2014-05-14",29,60
"2014-05-15",34,52
"2014-05-16",39,35
"2014-05-17",28,35
"2014-05-18",33,43
"2014-05-19",32,43
"2014-05-20",57,39
"2014-05-21",44,54
"2014-05-22",33,65
"2014-05-23",52,49
"2014-05-24",28,50
"2014-05-25",28,37
"2014-05-26",34,36
"2014-05-27",51,38
"2014-05-28",39,38
"2014-05-30",29,52
"2014-05-31",32,39
"2014-06-01",30,25
"2014-06-02",30,28
"2014-06-03",43,32
"2014-06-04",42,43
"2014-06-05",31,44
"2014-06-06",58,25
"2014-06-07",70,27
"2014-06-08",85,28
"2014-06-09",50,33
"2014-06-10",47,31
"2014-06-11",45,40
"2014-06-12",60,27
"2014-06-13",76,29
"2014-06-14",71,34
"2014-06-15",58,37
"2014-06-16",52,30
"2014-06-17",35,36
"2014-06-18",36,35
"2014-06-19",36,33
"2014-06-20",36,27
"2014-06-21",32,25
"2014-06-22",34,35
"2014-06-23",35,38
"2014-06-24",37,42
"2014-06-25",39,34
"2014-06-26",46,30
"2014-06-27",41,30
"2014-06-28",38,34
"2014-06-29",35,38
"2014-06-30",32,40
"2014-07-01",32,40
"2014-07-02",40,39
"2014-07-03",39,36
"2014-07-04",35,38
"2014-07-05",39,70
"2014-07-06",47,52
"2014-07-07",59,53
"2014-07-08",82,41
"2014-07-09",70,35
"2014-07-10",38,70
"2014-07-11",32,86
"2014-07-12",33,75
"2014-07-13",33,48
"2014-07-14",29,41
"2014-07-15",30,44
"2014-07-16",32,55
"2014-07-17",36,36
"2014-07-18",29,49
"2014-07-19",34,38
"2014-07-20",30,37
"2014-07-21",52,42
"2014-07-22",108,40
"2014-07-23",75,39
"2014-07-24",46,32
"2014-07-25",40,29
"2014-07-26",29,32
"2014-07-27",26,33
"2014-07-28",36,38
"2014-07-29",49,37
"2014-07-30",68,34
"2014-07-31",70,30
"2014-08-01",79,29
"2014-08-02",52,38
"2014-08-03",52,50
"2014-08-04",42,54
"2014-08-05",43,58
"2014-08-06",38,109
"2014-08-07",47,69
"2014-08-08",39,90
"2014-08-09",34,41
"2014-08-10",33,45
"2014-08-11",37,42
"2014-08-12",39,38
"2014-08-13",42,48
"2014-08-14",39,55
"2014-08-15",39,47
"2014-08-16",42,37
"2014-08-17",40,37
"2014-08-18",43,43
"2014-08-19",37,63
"2014-08-20",43,63
"2014-08-21",33,63
"2014-08-22",34,73
"2014-08-23",36,101
"2014-08-24",35,70
"2014-08-25",37,51
"2014-08-26",28,47
"2014-08-27",33,52
"2014-08-28",30,45
"2014-08-29",31,43
"2014-08-30",44,37
"2014-08-31",30,38
"2014-09-01",34,30
"2014-09-02",39,33
"2014-09-03",64,40
"2014-09-04",63,48
"2014-09-05",54,50
"2014-09-06",59,75
"2014-09-07",38,73
"2014-09-08",32,71
"2014-09-09",37,68
"2014-09-10",41,78
"2014-09-11",36,83
"2014-09-12",28,77
"2014-09-13",29,65
"2014-09-14",37,43
"2014-09-15",50,53
"2014-09-16",37,78
"2014-09-17",40,71
"2014-09-18",51,54
"2014-09-19",82,54
"2014-09-20",55,39
"2014-09-21",51,39
"2014-09-22",73,50
"2014-09-23",76,50
"2014-09-24",69,68
"2014-09-25",104,71
"2014-09-26",56,80
"2014-09-27",41,114
"2014-09-28",46,89
"2014-09-29",57,57
"2014-09-30",134,49
"2014-10-01",55,36
"2014-10-02",73,29
"2014-10-03",60,25
"2014-10-04",69,33
"2014-10-05",82,40
"2014-10-06",78,87
"2014-10-07",85,70
"2014-10-08",84,41
"2014-10-09",77,40
"2014-10-10",69,56
"2014-10-11",72,103
"2014-10-12",74,137
"2014-10-13",77,123
"2014-10-14",105,110
"2014-10-15",110,100
"2014-10-16",94,97
"2014-10-17",119,87
"2014-10-18",90,82
"2014-10-19",61,85
"2014-10-20",58,75
"2014-10-21",77,83
"2014-10-22",65,79
"2014-10-23",63,48
"2014-10-24",65,49
"2014-10-25",58,61
"2014-10-26",72,63
"2014-10-27",74,51
"2014-10-28",67,52
"2014-10-29",53,56
"2014-10-30",54,36
"2014-10-31",56,48
"2014-11-01",65,63
"2014-11-02",54,91
"2014-11-03",75,53
"2014-11-04",88,42
"2014-11-05",55,32
"2014-11-06",73,30
"2014-11-07",70,46
"2014-11-08",44,54
"2014-11-09",42,63
"2014-11-10",59,57
"2014-11-11",64,42
"2014-11-12",39,57
"2014-11-13",55,41
"2014-11-14",68,41
"2014-11-15",60,37
"2014-11-16",62,54
"2014-11-17",79,45
"2014-11-18",94,52
"2014-11-19",94,59
"2014-11-20",67,64
"2014-11-22",63,66
"2014-11-23",46,63
"2014-11-24",52,51
"2014-11-25",82,41
"2014-11-26",92,52
"2014-11-27",60,65
"2014-11-28",49,94
"2014-11-29",45,93
"2014-12-01",40,60
"2014-12-02",75,51
"2014-12-03",67,38
"2014-12-04",33,37
"2014-12-05",54,47
"2014-12-06",61,29
"2014-12-07",60,37
"2014-12-08",72,48
"2014-12-09",77,49
"2014-12-10",87,53
"2014-12-11",95,40
"2014-12-12",69,48
"2014-12-13",81,50
"2014-12-14",84,49
"2014-12-15",100,49
"2014-12-16",83,75
"2014-12-17",61,46
"2014-12-18",70,57
"2014-12-19",77,82
"2014-12-20",63,82
"2014-12-21",65,58
"2014-12-22",74,53
"2014-12-23",95,64
"2014-12-24",87,67
"2014-12-25",74,38
"2014-12-26",69,51
"2014-12-27",60,50
"2014-12-28",57,42
"2014-12-29",68,59
"2014-12-30",93,67
"2014-12-31",98,69
"2015-01-01",75,79
